Beneficiários por Município
Assistência Médica por Município
Período:Dez/2022
"Município";"Assistência_Médica"
"316165 São Geraldo do Baixio";103
"316170 São Gonçalo do Abaeté";1182
"316180 São Gonçalo do Pará";4523
"316190 São Gonçalo do Rio Abaixo";4685
"312550 São Gonçalo do Rio Preto";75
"316200 São Gonçalo do Sapucaí";3313
"316210 São Gotardo";5869
"316220 São João Batista do Glória";648
"316225 São João da Lagoa";48
"316230 São João da Mata";178
"316240 São João da Ponte";257
"316245 São João das Missões";72
"316250 São João del Rei";25155
"316255 São João do Manhuaçu";666
"316257 São João do Manteninha";188
"316260 São João do Oriente";614
"316265 São João do Pacuí";13
"316270 São João do Paraíso";263
"316280 São João Evangelista";1409
"316290 São João Nepomuceno";6646
"316292 São Joaquim de Bicas";7181
"316294 São José da Barra";932
"316295 São José da Lapa";6325
"316300 São José da Safira";103
"316310 São José da Varginha";320
"316320 São José do Alegre";698
"316330 São José do Divino";148
"316340 São José do Goiabal";472
"316350 São José do Jacuri";102
"316360 São José do Mantimento";54
"316370 São Lourenço";18570
"316380 São Miguel do Anta";359
"316390 São Pedro da União";184
"316410 São Pedro do Suaçuí";131
"316400 São Pedro dos Ferros";447
"316420 São Romão";358
"316430 São Roque de Minas";490
"316440 São Sebastião da Bela Vista";521
"316443 São Sebastião da Vargem Alegre";258
"316447 São Sebastião do Anta";73
"316450 São Sebastião do Maranhão";70
"316460 São Sebastião do Oeste";4154
"316470 São Sebastião do Paraíso";17044
"316480 São Sebastião do Rio Preto";52
"316490 São Sebastião do Rio Verde";331
"316520 São Thomé das Letras";127
"316500 São Tiago";1571
"316510 São Tomás de Aquino";398
"316530 São Vicente de Minas";949
"316540 Sapucaí-Mirim";185
"316550 Sardoá";194
"316553 Sarzedo";14385
"316556 Sem-Peixe";74
"316557 Senador Amaral";284
"316560 Senador Cortes";124
"316570 Senador Firmino";1125
"316580 Senador José Bento";73
"316590 Senador Modestino Gonçalves";67
"316600 Senhora de Oliveira";202
"316610 Senhora do Porto";142
"316620 Senhora dos Remédios";229
"316630 Sericita";83
"316640 Seritinga";161
"316650 Serra Azul de Minas";36
"316660 Serra da Saudade";56
"316680 Serra do Salitre";1133
"316670 Serra dos Aimorés";373
"316690 Serrania";782
"316695 Serranópolis de Minas";31
"316700 Serranos";208
"316710 Serro";2041
"316720 Sete Lagoas";78455
"316555 Setubinha";123
"316730 Silveirânia";133
"316740 Silvianópolis";716
"316750 Simão Pereira";383
"316760 Simonésia";735
"316770 Sobrália";295
"316780 Soledade de Minas";1360
"316790 Tabuleiro";294
"316800 Taiobeiras";895
"316805 Taparuba";14
"316810 Tapira";663
"316820 Tapiraí";30
"316830 Taquaraçu de Minas";285
"316840 Tarumirim";599
"316850 Teixeiras";1208
"316860 Teófilo Otoni";31937
"316870 Timóteo";36774
"316880 Tiradentes";1322
"316890 Tiros";894
"316900 Tocantins";6144
"316905 Tocos do Moji";136
"316910 Toledo";817
"316920 Tombos";808
"316930 Três Corações";20100
"316935 Três Marias";7938
"316940 Três Pontas";19565
"316950 Tumiritinga";371
"316960 Tupaciguara";3875
"316970 Turmalina";1118
"316980 Turvolândia";328
"316990 Ubá";32001
"317000 Ubaí";79
"317005 Ubaporanga";567
"317010 Uberaba";141184
"317020 Uberlândia";272796
"317030 Umburatiba";38
"317040 Unaí";12858
"317043 União de Minas";393
"317047 Uruana de Minas";129
"317050 Urucânia";1102
"317052 Urucuia";110
"317057 Vargem Alegre";275
"317060 Vargem Bonita";145
"317065 Vargem Grande do Rio Pardo";21
"317070 Varginha";51944
"317075 Varjão de Minas";2890
"317080 Várzea da Palma";2864
"317090 Varzelândia";177
"317100 Vazante";5818
"317103 Verdelândia";82
"317107 Veredinha";199
"317110 Veríssimo";399
"317115 Vermelho Novo";71
"317120 Vespasiano";27388
"317130 Viçosa";27151
"317140 Vieiras";77
"317160 Virgem da Lapa";353
"317170 Virgínia";1017
"317180 Virginópolis";987
"317190 Virgolândia";232
"317200 Visconde do Rio Branco";7491
"317210 Volta Grande";536
"317220 Wenceslau Braz";217
"310000 Município ignorado - MG";455
"320010 Afonso Cláudio";3023
"320016 Água Doce do Norte";476
"320013 Águia Branca";1151
"320020 Alegre";4838
"320030 Alfredo Chaves";1655
"320035 Alto Rio Novo";521
"320040 Anchieta";6224
"320050 Apiacá";525
"320060 Aracruz";35775
"320070 Atilio Vivacqua";2204
"320080 Baixo Guandu";4782
"320090 Barra de São Francisco";6121
"320100 Boa Esperança";1010
"320110 Bom Jesus do Norte";1023
"320115 Brejetuba";562
"320120 Cachoeiro de Itapemirim";65308
"320130 Cariacica";128690
"320140 Castelo";8312
"320150 Colatina";43836
"320160 Conceição da Barra";2583
"320170 Conceição do Castelo";1288
"320180 Divino de São Lourenço";118
"320190 Domingos Martins";5233
"320200 Dores do Rio Preto";238
"320210 Ecoporanga";1607
"320220 Fundão";4269
"320225 Governador Lindenberg";1557
"320230 Guaçuí";3314
"320240 Guarapari";31466
"320245 Ibatiba";2010
"320250 Ibiraçu";3084
"320255 Ibitirama";263
"320260 Iconha";3516
"320265 Irupi";761
"320270 Itaguaçu";1322
"320280 Itapemirim";4371
"320290 Itarana";1440
"320300 Iúna";2124
"320305 Jaguaré";2986
"320310 Jerônimo Monteiro";1543
"320313 João Neiva";6170
"320316 Laranja da Terra";431
"320320 Linhares";51707
"320330 Mantenópolis";580
"320332 Marataízes";5717
"320334 Marechal Floriano";3252
"320335 Marilândia";2623
"320340 Mimoso do Sul";2989
"320350 Montanha";1892
"320360 Mucurici";218
"320370 Muniz Freire";1649
"320380 Muqui";2312
"320390 Nova Venécia";9596
"320400 Pancas";1986
"320405 Pedro Canário";2752
"320410 Pinheiros";2145
"320420 Piúma";3001
"320425 Ponto Belo";182
"320430 Presidente Kennedy";1775
"320435 Rio Bananal";2748
"320440 Rio Novo do Sul";2109
"320450 Santa Leopoldina";698
"320455 Santa Maria de Jetibá";4311
"320460 Santa Teresa";4529
"320465 São Domingos do Norte";1429
"320470 São Gabriel da Palha";6551
"320480 São José do Calçado";837
"320490 São Mateus";30681
"320495 São Roque do Canaã";2247
"320500 Serra";214769
"320501 Sooretama";3693
"320503 Vargem Alta";2881
"320506 Venda Nova do Imigrante";5394
"320510 Viana";19753
"320515 Vila Pavão";432
"320517 Vila Valério";1440
"320520 Vila Velha";235343
"320530 Vitória";220972
"320000 Município ignorado - ES";27
"330010 Angra dos Reis";34546
"330015 Aperibé";1117
"330020 Araruama";26484
"330022 Areal";2166
"330023 Armação dos Búzios";4161
"330025 Arraial do Cabo";5378
"330030 Barra do Piraí";20999
"330040 Barra Mansa";64228
"330045 Belford Roxo";77498
"330050 Bom Jardim";3305
"330060 Bom Jesus do Itabapoana";6400
"330070 Cabo Frio";38572
"330080 Cachoeiras de Macacu";6211
"330090 Cambuci";1726
"330100 Campos dos Goytacazes";121470
"330110 Cantagalo";2789
"330093 Carapebus";2359
"330115 Cardoso Moreira";1386
"330120 Carmo";2785
"330130 Casimiro de Abreu";7596
"330095 Comendador Levy Gasparian";1102
"330140 Conceição de Macabu";4075
"330150 Cordeiro";3650
"330160 Duas Barras";891
"330170 Duque de Caxias";188909
"330180 Engenheiro Paulo de Frontin";906
"330185 Guapimirim";6524
"330187 Iguaba Grande";5159
"330190 Itaboraí";35400
"330200 Itaguaí";36714
"330205 Italva";1653
"330210 Itaocara";3909
"330220 Itaperuna";19218
"330225 Itatiaia";8673
"330227 Japeri";9008
"330230 Laje do Muriaé";576
"330240 Macaé";104752
"330245 Macuco";1395
"330250 Magé";32685
"330260 Mangaratiba";8526
"330270 Maricá";42552
"330280 Mendes";1892
"330285 Mesquita";39137
"330290 Miguel Pereira";4492
"330300 Miracema";2668
"330310 Natividade";1883
"330320 Nilópolis";43950
"330330 Niterói";291690
"330340 Nova Friburgo";49568
"330350 Nova Iguaçu";180746
"330360 Paracambi";4871
"330370 Paraíba do Sul";5885
"330380 Parati";5619
"330385 Paty do Alferes";1758
"330390 Petrópolis";86585
"330395 Pinheiral";4680
"330400 Piraí";5380
"330410 Porciúncula";2030
"330411 Porto Real";6254
"330412 Quatis";3153
"330414 Queimados";22251
"330415 Quissamã";2099
"330420 Resende";47461
"330430 Rio Bonito";9062
"330440 Rio Claro";2104
"330450 Rio das Flores";799
"330452 Rio das Ostras";48566
"330455 Rio de Janeiro";3119526
"330460 Santa Maria Madalena";1070
"330470 Santo Antônio de Pádua";6804
"330480 São Fidélis";5247
"330475 São Francisco de Itabapoana";3246
"330490 São Gonçalo";251002
"330500 São João da Barra";7669
"330510 São João de Meriti";86741
"330513 São José de Ubá";318
"330515 São José do Vale do Rio Preto";1587
"330520 São Pedro da Aldeia";16319
"330530 São Sebastião do Alto";461
"330540 Sapucaia";3630
"330550 Saquarema";13520
"330555 Seropédica";14641
"330560 Silva Jardim";1526
"330570 Sumidouro";843
"330575 Tanguá";2571
"330580 Teresópolis";38979
"330590 Trajano de Moraes";677
"330600 Três Rios";15999
"330610 Valença";8360
"330615 Varre-Sai";518
"330620 Vassouras";4637
"330630 Volta Redonda";102886
"330000 Município ignorado - RJ";209
"350010 Adamantina";8151
"350020 Adolfo";709
"350030 Aguaí";6565
"350040 Águas da Prata";1742
"350050 Águas de Lindóia";2640
"350055 Águas de Santa Bárbara";797
"350060 Águas de São Pedro";1554
"350070 Agudos";8812
"350075 Alambari";760
"350080 Alfredo Marcondes";1194
"350090 Altair";790
"350100 Altinópolis";2379
"350110 Alto Alegre";499
"350115 Alumínio";7891
"350120 Álvares Florence";437
"350130 Álvares Machado";6389
"350140 Álvaro de Carvalho";111
"350150 Alvinlândia";178
"350160 Americana";131010
"350170 Américo Brasiliense";15516
"350180 Américo de Campos";1316
"350190 Amparo";29427
"350200 Analândia";781
"350210 Andradina";12435
"350220 Angatuba";3183
"350230 Anhembi";377
"350240 Anhumas";757
"350250 Aparecida";5635
"350260 Aparecida d'Oeste";519
"350270 Apiaí";1723
"350275 Araçariguama";4727
"350280 Araçatuba";67276
"350290 Araçoiaba da Serra";8898
"350300 Aramina";1914
"350310 Arandu";427
"350315 Arapeí";53
"350320 Araraquara";120264
"350330 Araras";61650
"350335 Arco-Íris";108
"350340 Arealva";1010
"350350 Areias";167
"350360 Areiópolis";2569
"350370 Ariranha";2783
"350380 Artur Nogueira";13930
"350390 Arujá";35786
"350395 Aspásia";186
"350400 Assis";26917
"350410 Atibaia";72281
"350420 Auriflama";3093
"350430 Avaí";552
"350440 Avanhandava";1384
"350450 Avaré";15836
"350460 Bady Bassitt";8043
"350470 Balbinos";155
"350480 Bálsamo";2465
"350490 Bananal";1030
"350500 Barão de Antonina";20
"350510 Barbosa";397
"350520 Bariri";4789
"350530 Barra Bonita";9057
"350535 Barra do Chapéu";13
"350540 Barra do Turvo";160
"350550 Barretos";31211
"350560 Barrinha";11526
"350570 Barueri";161079
"350580 Bastos";2952
"350590 Batatais";13349
"350600 Bauru";156405
"350610 Bebedouro";27979
"350620 Bento de Abreu";1082
"350630 Bernardino de Campos";936
"350635 Bertioga";14579
"350640 Bilac";1294
"350650 Birigui";33864
"350660 Biritiba-Mirim";3252
"350670 Boa Esperança do Sul";3041
"350680 Bocaina";1924
"350690 Bofete";957
"350700 Boituva";19271
"350710 Bom Jesus dos Perdões";5145
"350715 Bom Sucesso de Itararé";186
"350720 Borá";181
"350730 Boracéia";437
"350740 Borborema";1905
"350745 Borebi";382
"350750 Botucatu";41205
"350760 Bragança Paulista";65783
"350770 Braúna";691
"350775 Brejo Alegre";413
"350780 Brodowski";6235
"350790 Brotas";3927
"350800 Buri";660
"350810 Buritama";2536
"350820 Buritizal";1519
"350830 Cabrália Paulista";409
"350840 Cabreúva";17664
"350850 Caçapava";36078
"350860 Cachoeira Paulista";7709
"350870 Caconde";2192
"350880 Cafelândia";3542
"350890 Caiabu";337
"350900 Caieiras";34514
"350910 Caiuá";349
"350920 Cajamar";41528
"350925 Cajati";4859
"350930 Cajobi";1589
"350940 Cajuru";5735
"350945 Campina do Monte Alegre";317
"350950 Campinas";583418
"350960 Campo Limpo Paulista";32847
"350970 Campos do Jordão";6207
"350980 Campos Novos Paulista";276
"350990 Cananéia";723
"350995 Canas";472
"351000 Cândido Mota";6185
"351010 Cândido Rodrigues";643
"351015 Canitar";927
"351020 Capão Bonito";3146
"351030 Capela do Alto";2452
"351040 Capivari";22553
"351050 Caraguatatuba";25226
"351060 Carapicuíba";137520
"351070 Cardoso";1653
"351080 Casa Branca";5802
"351090 Cássia dos Coqueiros";238
"351100 Castilho";3574
"351110 Catanduva";46537
"351120 Catiguá";3077
"351130 Cedral";3124
"351140 Cerqueira César";1487
"351150 Cerquilho";16827
"351160 Cesário Lange";2589
"351170 Charqueada";6084
"355720 Chavantes";2287
"351190 Clementina";1972
"351200 Colina";7080
"351210 Colômbia";1193
"351220 Conchal";5927
"351230 Conchas";1112
"351240 Cordeirópolis";10665
"351250 Coroados";946
"351260 Coronel Macedo";108
"351270 Corumbataí";1216
"351280 Cosmópolis";20317
"351290 Cosmorama";1442
"351300 Cotia";100471
"351310 Cravinhos";14874
"351320 Cristais Paulista";1762
"351330 Cruzália";152
"351340 Cruzeiro";22567
"351350 Cubatão";44619
"351360 Cunha";1046
"351370 Descalvado";11543
"351380 Diadema";176473
"351385 Dirce Reis";113
"351390 Divinolândia";1247
"351400 Dobrada";2508
"351410 Dois Córregos";3734
"351420 Dolcinópolis";254
"351430 Dourado";2075
"351440 Dracena";7539
"351450 Duartina";1998
"351460 Dumont";4108
"351470 Echaporã";723
"351480 Eldorado";613
"351490 Elias Fausto";3866
"351492 Elisiário";1032
"351495 Embaúba";574
"351500 Embu";66776
"351510 Embu-Guaçu";9042
"351512 Emilianópolis";397
"351515 Engenheiro Coelho";4410
"351518 Espírito Santo do Pinhal";16362
"351519 Espírito Santo do Turvo";341
"355730 Estiva Gerbi";3346
"351520 Estrela d'Oeste";1128
"351530 Estrela do Norte";678
"351535 Euclides da Cunha Paulista";537
"351540 Fartura";541
"351560 Fernando Prestes";1593
"351550 Fernandópolis";16709
"351565 Fernão";67
"351570 Ferraz de Vasconcelos";40345
"351580 Flora Rica";95
"351590 Floreal";543
"351600 Flórida Paulista";1512
"351610 Florínia";243
"351620 Franca";117397
"351630 Francisco Morato";37623
"351640 Franco da Rocha";38023
"351650 Gabriel Monteiro";655
"351660 Gália";815
"351670 Garça";7039
"351680 Gastão Vidigal";578
"351685 Gavião Peixoto";1973
"351690 General Salgado";2742
"351700 Getulina";1845
"351710 Glicério";383
"351720 Guaiçara";3165
"351730 Guaimbê";692
"351740 Guaíra";17667
"351750 Guapiaçu";7335
"351760 Guapiara";251
"351770 Guará";5152
"351780 Guaraçaí";990
"351790 Guaraci";2561
"351800 Guarani d'Oeste";174
"351810 Guarantã";763
"351820 Guararapes";9402
"351830 Guararema";6306
"351840 Guaratinguetá";28452
"351850 Guareí";450
"351860 Guariba";13434
"351870 Guarujá";112964
"351880 Guarulhos";596232
"351885 Guatapará";2061
"351890 Guzolândia";497
"351900 Herculândia";851
"351905 Holambra";4742
"351907 Hortolândia";82507
"351910 Iacanga";2286
"351920 Iacri";741
"351925 Iaras";460
"351930 Ibaté";8063
"351940 Ibirá";3073
"351950 Ibirarema";585
"351960 Ibitinga";11748
"351970 Ibiúna";11393
"351980 Icém";1749
"351990 Iepê";1166
"352000 Igaraçu do Tietê";5384
"352010 Igarapava";9823
"352020 Igaratá";1272
"352030 Iguape";1339
"352042 Ilha Comprida";513
"352044 Ilha Solteira";6854
"352040 Ilhabela";3457
"352050 Indaiatuba";112365
"352060 Indiana";821
"352070 Indiaporã";403
"352080 Inúbia Paulista";278
"352090 Ipaussu";2853
"352100 Iperó";5332
"352110 Ipeúna";1829
"352115 Ipiguá";1117
"352120 Iporanga";71
"352130 Ipuã";5320
"352140 Iracemápolis";11575
"352150 Irapuã";1512
"352160 Irapuru";793
"352170 Itaberá";1092
"352180 Itaí";2358
"352190 Itajobi";3550
"352200 Itaju";227
"352210 Itanhaém";15535
"352215 Itaóca";109
"352220 Itapecerica da Serra";37131
"352230 Itapetininga";31259
"352240 Itapeva";16355
"352250 Itapevi";62781
"352260 Itapira";21883
"352265 Itapirapuã Paulista";88
"352270 Itápolis";8245
"352280 Itaporanga";458
"352290 Itapuí";932
"352300 Itapura";565
"352310 Itaquaquecetuba";93776
"352320 Itararé";4091
"352330 Itariri";914
"352340 Itatiba";42960
"352350 Itatinga";4369
"352360 Itirapina";2892
"352370 Itirapuã";994
"352380 Itobi";1557
"352390 Itu";68212
"352400 Itupeva";30183
"352410 Ituverava";13678
"352420 Jaborandi";1389
"352430 Jaboticabal";30232
"352440 Jacareí";102288
"352450 Jaci";2016
"352460 Jacupiranga";1475
"352470 Jaguariúna";20587
"352480 Jales";12193
"352490 Jambeiro";1377
"352500 Jandira";39103
"352510 Jardinópolis";12963
"352520 Jarinu";10332
"352530 Jaú";26322
"352540 Jeriquara";575
"352550 Joanópolis";1797
"352560 João Ramalho";1214
"352570 José Bonifácio";9805
"352580 Júlio Mesquita";522
"352585 Jumirim";940
"352590 Jundiaí";268415
"352600 Junqueirópolis";3487
"352610 Juquiá";1228
"352620 Juquitiba";1759
"352630 Lagoinha";251
"352640 Laranjal Paulista";6614
"352650 Lavínia";561
"352660 Lavrinhas";1863
"352670 Leme";32210
"352680 Lençóis Paulista";28472
"352690 Limeira";140142
"352700 Lindóia";704
"352710 Lins";32313
"352720 Lorena";23323
"352725 Lourdes";232
"352730 Louveira";19269
"352740 Lucélia";2166
"352750 Lucianópolis";167
"352760 Luís Antônio";3905
"352770 Luiziânia";732
"352780 Lupércio";356
"352790 Lutécia";303
"352800 Macatuba";5114
"352810 Macaubal";1715
"352820 Macedônia";285
"352830 Magda";557
"352840 Mairinque";19803
"352850 Mairiporã";19579
"352860 Manduri";726
"352870 Marabá Paulista";238
"352880 Maracaí";2978
"352885 Marapoama";611
"352890 Mariápolis";239
"352900 Marília";85279
"352910 Marinópolis";101
"352920 Martinópolis";3882
"352930 Matão";35190
"352940 Mauá";198620
"352950 Mendonça";1565
"352960 Meridiano";673
"352965 Mesópolis";313
"352970 Miguelópolis";6635
"352980 Mineiros do Tietê";1200
"353000 Mira Estrela";372
"352990 Miracatu";956
"353010 Mirandópolis";4490
"353020 Mirante do Paranapanema";3156
"353030 Mirassol";23499
"353040 Mirassolândia";597
"353050 Mococa";19661
"353060 Mogi das Cruzes";160281
"353070 Mogi Guaçu";55360
"353080 Moji Mirim";33066
"353090 Mombuca";936
"353100 Monções";359
"353110 Mongaguá";8066
"353120 Monte Alegre do Sul";3506
"353130 Monte Alto";22449
"353140 Monte Aprazível";8115
"353150 Monte Azul Paulista";5059
"353160 Monte Castelo";772
"353180 Monte Mor";19323
"353170 Monteiro Lobato";548
"353190 Morro Agudo";9389
"353200 Morungaba";3719
"353205 Motuca";1504
"353210 Murutinga do Sul";453
"353215 Nantes";313
"353220 Narandiba";812
"353230 Natividade da Serra";382
"353240 Nazaré Paulista";2333
"353250 Neves Paulista";2595
"353260 Nhandeara";2476
"353270 Nipoã";988
"353280 Nova Aliança";1514
"353282 Nova Campina";812
"353284 Nova Canaã Paulista";141
"353286 Nova Castilho";135
"353290 Nova Europa";4210
"353300 Nova Granada";4966
"353310 Nova Guataporanga";384
"353320 Nova Independência";1267
"353330 Nova Luzitânia";444
"353340 Nova Odessa";25761
"353325 Novais";940
"353350 Novo Horizonte";10271
"353360 Nuporanga";2354
"353370 Ocauçu";397
"353380 Óleo";129
"353390 Olímpia";22262
"353400 Onda Verde";1065
"353410 Oriente";1878
"353420 Orindiúva";2372
"353430 Orlândia";19226
"353440 Osasco";335392
"353450 Oscar Bressane";239
"353460 Osvaldo Cruz";7036
"353470 Ourinhos";22635
"353480 Ouro Verde";792
"353475 Ouroeste";1765
"353490 Pacaembu";1380
"353500 Palestina";3195
"353510 Palmares Paulista";2467
"353520 Palmeira d'Oeste";931
"353530 Palmital";4132
"353540 Panorama";884
"353550 Paraguaçu Paulista";8035
"353560 Paraibuna";2996
"353570 Paraíso";1744
"353580 Paranapanema";2085
"353590 Paranapuã";440
"353600 Parapuã";1145
"353610 Pardinho";1032
"353620 Pariquera-Açu";1179
"353625 Parisi";327
"353630 Patrocínio Paulista";3116
"353640 Paulicéia";515
"353650 Paulínia";54807
"353657 Paulistânia";162
"353660 Paulo de Faria";2002
"353670 Pederneiras";15419
"353680 Pedra Bela";504
"353690 Pedranópolis";312
"353700 Pedregulho";3257
"353710 Pedreira";12487
"353715 Pedrinhas Paulista";359
"353720 Pedro de Toledo";463
"353730 Penápolis";12066
"353740 Pereira Barreto";4957
"353750 Pereiras";565
"353760 Peruíbe";10861
"353770 Piacatu";947
"353780 Piedade";6806
"353790 Pilar do Sul";3381
"353800 Pindamonhangaba";47623
"353810 Pindorama";4961
"353820 Pinhalzinho";2073
"353830 Piquerobi";425
"353850 Piquete";1879
"353860 Piracaia";5049
"353870 Piracicaba";219185
"353880 Piraju";3248
"353890 Pirajuí";4560
"353900 Pirangi";2378
"353910 Pirapora do Bom Jesus";2958
"353920 Pirapozinho";6120
"353930 Pirassununga";26392
"353940 Piratininga";3868
"353950 Pitangueiras";9718
"353960 Planalto";2385
"353970 Platina";458
"353980 Poá";33057
"353990 Poloni";1305
"354000 Pompéia";9939
"354010 Pongaí";666
"354020 Pontal";16677
"354025 Pontalinda";178
"354030 Pontes Gestal";604
"354040 Populina";760
"354050 Porangaba";670
"354060 Porto Feliz";14361
"354070 Porto Ferreira";22955
"354075 Potim";1410
"354080 Potirendaba";6533
"354085 Pracinha";53
"354090 Pradópolis";8134
"354100 Praia Grande";114057
"354105 Pratânia";548
"354110 Presidente Alves";483
"354120 Presidente Bernardes";3136
"354130 Presidente Epitácio";6428
"354140 Presidente Prudente";90634
"354150 Presidente Venceslau";7862
"354160 Promissão";7298
"354165 Quadra";258
"354170 Quatá";4523
"354180 Queiroz";586
"354190 Queluz";915
"354200 Quintana";1738
"354210 Rafard";3400
"354220 Rancharia";5874
"354230 Redenção da Serra";307
"354240 Regente Feijó";5229
"354250 Reginópolis";1031
"354260 Registro";10115
"354270 Restinga";1302
"354280 Ribeira";170
"354290 Ribeirão Bonito";2254
"354300 Ribeirão Branco";537
"354310 Ribeirão Corrente";597
"354320 Ribeirão do Sul";464
"354323 Ribeirão dos Índios";211
"354325 Ribeirão Grande";305
"354330 Ribeirão Pires";53371
"354340 Ribeirão Preto";322615
"354360 Rifaina";793
"354370 Rincão";3052
"354380 Rinópolis";817
"354390 Rio Claro";94790
"354400 Rio das Pedras";15786
"354410 Rio Grande da Serra";14989
"354420 Riolândia";1667
"354350 Riversul";127
"354425 Rosana";1339
"354430 Roseira";1484
"354440 Rubiácea";693
"354450 Rubinéia";274
"354460 Sabino";1188
"354470 Sagres";154
"354480 Sales";1106
"354490 Sales Oliveira";4341
"354500 Salesópolis";1700
"354510 Salmourão";534
"354515 Saltinho";3970
"354520 Salto";51659
"354530 Salto de Pirapora";9784
"354540 Salto Grande";923
"354550 Sandovalina";1909
"354560 Santa Adélia";5114
"354570 Santa Albertina";1451
"354580 Santa Bárbara d'Oeste";84690
"354600 Santa Branca";2741
"354610 Santa Clara d'Oeste";157
"354620 Santa Cruz da Conceição";968
"354625 Santa Cruz da Esperança";205
"354630 Santa Cruz das Palmeiras";11674
"354640 Santa Cruz do Rio Pardo";10414
"354650 Santa Ernestina";2506
"354660 Santa Fé do Sul";6688
"354670 Santa Gertrudes";9193
"354680 Santa Isabel";10154
"354690 Santa Lúcia";3615
"354700 Santa Maria da Serra";745
"354710 Santa Mercedes";298
"354740 Santa Rita d'Oeste";232
"354750 Santa Rita do Passa Quatro";9053
"354760 Santa Rosa de Viterbo";8181
"354765 Santa Salete";204
"354720 Santana da Ponte Pensa";110
"354730 Santana de Parnaíba";62924
"354770 Santo Anastácio";4058
"354780 Santo André";435531
"354790 Santo Antônio da Alegria";363
"354800 Santo Antônio de Posse";5435
"354805 Santo Antônio do Aracanguá";1076
"354810 Santo Antônio do Jardim";1299
"354820 Santo Antônio do Pinhal";639
"354830 Santo Expedito";480
"354840 Santópolis do Aguapeí";887
"354850 Santos";267031
"354860 São Bento do Sapucaí";866
"354870 São Bernardo do Campo";455673
"354880 São Caetano do Sul";109157
"354890 São Carlos";109831
"354900 São Francisco";213
"354910 São João da Boa Vista";35155
"354920 São João das Duas Pontes";211
"354925 São João de Iracema";217
"354930 São João do Pau d'Alho";476
"354940 São Joaquim da Barra";17396
"354950 São José da Bela Vista";1117
"354960 São José do Barreiro";179
"354970 São José do Rio Pardo";17367
"354980 São José do Rio Preto";214987
"354990 São José dos Campos";311855
"354995 São Lourenço da Serra";1858
"355000 São Luís do Paraitinga";1214
"355010 São Manuel";10070
"355020 São Miguel Arcanjo";2596
"355030 São Paulo";5900290
"355040 São Pedro";8318
"355050 São Pedro do Turvo";1580
"355060 São Roque";24998
"355070 São Sebastião";13596
"355080 São Sebastião da Grama";1398
"355090 São Simão";3617
"355100 São Vicente";127297
"355110 Sarapuí";618
"355120 Sarutaiá";100
"355130 Sebastianópolis do Sul";1156
"355140 Serra Azul";1606
"355160 Serra Negra";5856
"355150 Serrana";13890
"355170 Sertãozinho";55264
"355180 Sete Barras";692
"355190 Severínia";3906
"355200 Silveiras";379
"355210 Socorro";4207
"355220 Sorocaba";340206
"355230 Sud Mennucci";1554
"355240 Sumaré";106236
"355255 Suzanápolis";1268
"355250 Suzano";95379
"355260 Tabapuã";3157
"355270 Tabatinga";3444
"355280 Taboão da Serra";95569
"355290 Taciba";950
"355300 Taguaí";173
"355310 Taiaçu";841
"355320 Taiúva";1246
"355330 Tambaú";5336
"355340 Tanabi";7040
"355350 Tapiraí";497
"355360 Tapiratiba";1958
"355365 Taquaral";466
"355370 Taquaritinga";15598
"355380 Taquarituba";1473
"355385 Taquarivaí";822
"355390 Tarabai";868
"355395 Tarumã";2545
"355400 Tatuí";32734
"355410 Taubaté";103466
"355420 Tejupá";39
"355430 Teodoro Sampaio";4843
"355440 Terra Roxa";1762
"355450 Tietê";14617
"355460 Timburi";69
"355465 Torre de Pedra";79
"355470 Torrinha";945
"355475 Trabiju";323
"355480 Tremembé";9677
"355490 Três Fronteiras";868
"355495 Tuiuti";803
"355500 Tupã";12982
"355510 Tupi Paulista";2645
"355520 Turiúba";379
"355530 Turmalina";127
"355535 Ubarana";768
"355540 Ubatuba";11071
"355550 Ubirajara";202
"355560 Uchoa";3083
"355570 União Paulista";243
"355580 Urânia";1281
"355590 Uru";180
"355600 Urupês";3837
"355610 Valentim Gentil";2366
"355620 Valinhos";71024
"355630 Valparaíso";7215
"355635 Vargem";2137
"355640 Vargem Grande do Sul";10982
"355645 Vargem Grande Paulista";12849
"355650 Várzea Paulista";54264
"355660 Vera Cruz";1740
"355670 Vinhedo";39770
"355680 Viradouro";5735
"355690 Vista Alegre do Alto";1092
"355695 Vitória Brasil";143
"355700 Votorantim";49557
"355710 Votuporanga";31576
"355715 Zacarias";344
"350000 Município ignorado - SP";1975
"410010 Abatiá";527
"410020 Adrianópolis";458
"410030 Agudos do Sul";612
"410040 Almirante Tamandaré";22398
"410045 Altamira do Paraná";226
"412862 Alto Paraíso";78
"410060 Alto Paraná";1742
"410070 Alto Piquiri";479
"410050 Altônia";620
"410080 Alvorada do Sul";1200
"410090 Amaporã";240
"410100 Ampére";640
"410105 Anahy";318
"410110 Andirá";2522
"410115 Ângulo";561
"410120 Antonina";1941
"410130 Antônio Olinto";96
"410140 Apucarana";19659
"410150 Arapongas";19321
"410160 Arapoti";5310
"410165 Arapuã";192
"410170 Araruna";1352
"410180 Araucária";48259
"410185 Ariranha do Ivaí";97
"410190 Assaí";2886
"410200 Assis Chateaubriand";5979
"410210 Astorga";4222
"410220 Atalaia";1470
